Format Version,1.23,Take Name,601_no1,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2023-04-13 07.39.33.825 午征ECapture Start Frame,835242,Total Frames in Take,73413,Total Exported Frames,72923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
, ,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 2255,Unlabeled 2255,Unlabeled 2255,,,,,,,,,,,,,,,,,,
,ID,1E2D05B9E45472311EE,1E2D05B9E45472311EE,1E2D05B9E45472311EE,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,
613,6.13,1.463485,1.723936,1.57694,,,,,,,,,,,,,,,,,,
614,6.14,1.472303,1.710691,1.59754,,,,,,,,,,,,,,,,,,
615,6.15,1.481073,1.697456,1.618743,,,,,,,,,,,,,,,,,,
616,6.16,1.489805,1.684272,1.64054,,,,,,,,,,,,,,,,,,
617,6.17,1.498513,1.67118,1.662924,,,,,,,,,,,,,,,,,,
618,6.18,1.50721,1.658222,1.685882,,,,,,,,,,,,,,,,,,
619,6.19,1.515914,1.645436,1.7094,,,,,,,,,,,,,,,,,,
620,6.2,1.524643,1.632859,1.733462,,,,,,,,,,,,,,,,,,
621,6.21,1.533417,1.620529,1.758048,,,,,,,,,,,,,,,,,,
622,6.22,1.542255,1.608478,1.783138,,,,,,,,,,,,,,,,,,
623,6.23,1.551179,1.596739,1.808709,,,,,,,,,,,,,,,,,,
624,6.24,1.560209,1.585341,1.834736,,,,,,,,,,,,,,,,,,
625,6.25,1.569368,1.574313,1.861194,,,,,,,,,,,,,,,,,,
626,6.26,1.578674,1.56368,1.888056,,,,,,,,,,,,,,,,,,
627,6.27,1.588148,1.553464,1.915294,,,,,,,,,,,,,,,,,,
628,6.28,1.597808,1.543688,1.942878,,,,,,,,,,,,,,,,,,
629,6.29,1.607674,1.53437,1.97078,,,,,,,,,,,,,,,,,,
630,6.3,1.61776,1.525528,1.99897,,,,,,,,,,,,,,,,,,
631,6.31,1.628082,1.517176,2.027418,,,,,,,,,,,,,,,,,,
632,6.32,1.638653,1.509328,2.056095,,,,,,,,,,,,,,,,,,
633,6.33,1.649485,1.501994,2.08497,,,,,,,,,,,,,,,,,,
634,6.34,1.660586,1.495185,2.114017,,,,,,,,,,,,,,,,,,
635,6.35,1.671965,1.488907,2.143207,,,,,,,,,,,,,,,,,,
636,6.36,1.683627,1.483167,2.172512,,,,,,,,,,,,,,,,,,
637,6.37,1.695572,1.47797,2.201906,,,,,,,,,,,,,,,,,,
638,6.38,1.707803,1.473317,2.231365,,,,,,,,,,,,,,,,,,
639,6.39,1.720316,1.46921,2.260864,,,,,,,,,,,,,,,,,,
640,6.4,1.733105,1.465649,2.29038,,,,,,,,,,,,,,,,,,
641,6.41,1.746165,1.462632,2.319891,,,,,,,,,,,,,,,,,,
642,6.42,1.759485,1.460156,2.349376,,,,,,,,,,,,,,,,,,
643,6.43,1.773055,1.458215,2.378814,,,,,,,,,,,,,,,,,,
644,6.44,1.78686,1.456806,2.408183,,,,,,,,,,,,,,,,,,
645,6.45,1.800888,1.455921,2.437465,,,,,,,,,,,,,,,,,,
646,6.46,1.81512,1.455552,2.466638,,,,,,,,,,,,,,,,,,
647,6.47,1.829542,1.455693,2.495682,,,,,,,,,,,,,,,,,,
648,6.48,1.844133,1.456335,2.524575,,,,,,,,,,,,,,,,,,
649,6.49,1.858876,1.457469,2.553296,,,,,,,,,,,,,,,,,,
650,6.5,1.873749,1.459088,2.581822,,,,,,,,,,,,,,,,,,
651,6.51,1.888733,1.461183,2.610128,,,,,,,,,,,,,,,,,,
652,6.52,1.903805,1.463748,2.63819,,,,,,,,,,,,,,,,,,
653,6.53,1.918945,1.466774,2.665979,,,,,,,,,,,,,,,,,,
654,6.54,1.934129,1.470256,2.693468,,,,,,,,,,,,,,,,,,
655,6.55,1.949337,1.474187,2.720627,,,,,,,,,,,,,,,,,,
656,6.56,1.964545,1.478561,2.747423,,,,,,,,,,,,,,,,,,
657,6.57,1.979732,1.483372,2.773824,,,,,,,,,,,,,,,,,,
658,6.58,1.994875,1.488616,2.799793,,,,,,,,,,,,,,,,,,
659,6.59,2.009955,1.494286,2.825295,,,,,,,,,,,,,,,,,,
660,6.6,2.024951,1.500376,2.850292,,,,,,,,,,,,,,,,,,
661,6.61,2.039843,1.506878,2.874747,,,,,,,,,,,,,,,,,,
662,6.62,2.054613,1.513786,2.89862,,,,,,,,,,,,,,,,,,
663,6.63,2.069245,1.521088,2.921872,,,,,,,,,,,,,,,,,,
664,6.64,2.083724,1.528774,2.944468,,,,,,,,,,,,,,,,,,
665,6.65,2.098036,1.53683,2.966368,,,,,,,,,,,,,,,,,,
666,6.66,2.112168,1.545243,2.98754,,,,,,,,,,,,,,,,,,
667,6.67,2.126112,1.553993,3.007951,,,,,,,,,,,,,,,,,,
668,6.68,2.139861,1.563062,3.027571,,,,,,,,,,,,,,,,,,
669,6.69,2.153408,1.572428,3.046374,,,,,,,,,,,,,,,,,,
670,6.7,2.166752,1.582065,3.064338,,,,,,,,,,,,,,,,,,
671,6.71,2.179892,1.591945,3.081443,,,,,,,,,,,,,,,,,,
672,6.72,2.192833,1.602041,3.097676,,,,,,,,,,,,,,,,,,
673,6.73,2.20558,1.612318,3.113025,,,,,,,,,,,,,,,,,,
674,6.74,2.218142,1.622742,3.127485,,,,,,,,,,,,,,,,,,
675,6.75,2.230534,1.633276,3.141054,,,,,,,,,,,,,,,,,,
676,6.76,2.242771,1.643882,3.153734,,,,,,,,,,,,,,,,,,
677,6.77,2.254874,1.654518,3.165531,,,,,,,,,,,,,,,,,,
678,6.78,2.266866,1.665143,3.176453,,,,,,,,,,,,,,,,,,
679,6.79,2.278774,1.675712,3.186515,,,,,,,,,,,,,,,,,,
680,6.8,2.290626,1.686183,3.19573,,,,,,,,,,,,,,,,,,
681,6.81,2.302454,1.696509,3.204118,,,,,,,,,,,,,,,,,,
682,6.82,2.314291,1.706646,3.211699,,,,,,,,,,,,,,,,,,
683,6.83,2.326168,1.71655,3.218495,,,,,,,,,,,,,,,,,,
684,6.84,2.338118,1.726178,3.224528,,,,,,,,,,,,,,,,,,
685,6.85,2.35017,1.735489,3.229824,,,,,,,,,,,,,,,,,,
686,6.86,2.362349,1.744444,3.234405,,,,,,,,,,,,,,,,,,
687,6.87,2.374676,1.753007,3.238298,,,,,,,,,,,,,,,,,,
688,6.88,2.387168,1.761146,3.241526,,,,,,,,,,,,,,,,,,
689,6.89,2.399833,1.768832,3.244114,,,,,,,,,,,,,,,,,,
690,6.9,2.412677,1.776042,3.246083,,,,,,,,,,,,,,,,,,
691,6.91,2.425698,1.782754,3.247458,,,,,,,,,,,,,,,,,,
692,6.92,2.43889,1.788954,3.24826,,,,,,,,,,,,,,,,,,
693,6.93,2.452243,1.794628,3.248509,,,,,,,,,,,,,,,,,,
694,6.94,2.465743,1.799769,3.248225,,,,,,,,,,,,,,,,,,
695,6.95,2.479376,1.804373,3.247427,,,,,,,,,,,,,,,,,,
696,6.96,2.493127,1.808438,3.246132,,,,,,,,,,,,,,,,,,
697,6.97,2.506979,1.811966,3.244358,,,,,,,,,,,,,,,,,,
698,6.98,2.520919,1.81496,3.242119,,,,,,,,,,,,,,,,,,
699,6.99,2.534934,1.817428,3.239431,,,,,,,,,,,,,,,,,,
700,7,2.549011,1.819377,3.236306,,,,,,,,,,,,,,,,,,
701,7.01,2.563143,1.820817,3.232757,,,,,,,,,,,,,,,,,,
702,7.02,2.577322,1.821759,3.228793,,,,,,,,,,,,,,,,,,
703,7.03,2.591543,1.822215,3.224426,,,,,,,,,,,,,,,,,,
704,7.04,2.605805,1.8222,3.219663,,,,,,,,,,,,,,,,,,
705,7.05,2.620104,1.821725,3.214511,,,,,,,,,,,,,,,,,,
706,7.06,2.634443,1.820807,3.208978,,,,,,,,,,,,,,,,,,
707,7.07,2.648821,1.819458,3.203069,,,,,,,,,,,,,,,,,,
708,7.08,2.663241,1.817695,3.19679,,,,,,,,,,,,,,,,,,
709,7.09,2.677707,1.815531,3.190145,,,,,,,,,,,,,,,,,,
710,7.1,2.692221,1.812982,3.183139,,,,,,,,,,,,,,,,,,
711,7.11,2.706787,1.810063,3.175776,,,,,,,,,,,,,,,,,,
712,7.12,2.721408,1.806789,3.168059,,,,,,,,,,,,,,,,,,
713,7.13,2.736086,1.803175,3.159992,,,,,,,,,,,,,,,,,,
714,7.14,2.750823,1.799234,3.151574,,,,,,,,,,,,,,,,,,
715,7.15,2.765619,1.794982,3.142808,,,,,,,,,,,,,,,,,,
716,7.16,2.780475,1.790432,3.133694,,,,,,,,,,,,,,,,,,
717,7.17,2.795388,1.7856,3.124229,,,,,,,,,,,,,,,,,,
