,pulsetiming,x,y,z
50,6.22590347,3.282054,0.335495,1.3105
51,6.252726389999999,3.354233,0.364957,1.304251
52,6.280990279999999,3.459407,0.414484,1.299256
53,6.31717431,3.592049,0.493329,1.297382
54,6.35824375,3.715283,0.583391,1.298663
55,6.4007472199999995,3.829274,0.688819,1.298457
56,6.4388444400000004,3.932319,0.802914,1.30274
57,6.466695139999999,4.001554,0.894639,1.307167
58,6.50415347,4.059806,0.992866,1.313468
59,6.53360833,4.102992,1.098672,1.321344
60,6.5650701399999996,4.143905,1.246247,1.33415
61,6.589413889999999,4.158595,1.321606,1.341272
62,6.61021944,4.170113,1.398384,1.347047
63,6.63144514,4.179261,1.475911,1.351404
64,6.65401458,4.185889,1.553281,1.354903
65,6.687799309999999,4.19025,1.708506,1.36206
66,6.73372986,4.180415,1.866566,1.366502
67,6.78836875,4.154474,2.105824,1.362354
68,6.843986809999999,4.126162,2.306593,1.350858
69,6.8816187499999995,4.096241,2.467283,1.338744
70,6.90550417,4.067776,2.586533,1.334326
71,6.932389579999999,4.044883,2.665361,1.333163
72,6.97748333,3.969295,2.853557,1.34118
73,7.028840969999999,3.866611,3.031752,1.355227
74,7.0836048599999994,3.759315,3.207135,1.375984
75,7.140834029999999,3.620564,3.412963,1.392963
76,7.19757708,3.44858,3.592057,1.413581
77,7.23947639,3.321359,3.69824,1.427152
78,7.29177153,3.157426,3.820602,1.44582
79,7.34849028,2.948561,3.948406,1.465019
80,7.395448609999999,2.760607,4.026779,1.486002
81,7.440191669999999,2.608701,4.07776,1.505421
82,7.48138958,2.454955,4.116297,1.525571
83,7.53035139,2.262855,4.151231,1.550044
84,7.576209029999999,2.07144,4.168663,1.576956
85,7.61947292,1.921363,4.173043,1.596203
86,7.676243749999999,1.703781,4.166961,1.628417
87,7.726396529999999,1.531082,4.144122,1.65736
88,7.767361809999999,1.398385,4.114079,1.682163
89,7.807156939999999,1.271885,4.080083,1.706614
90,7.88804236,1.035243,3.995132,1.748645
91,7.92353194,0.951912,3.959077,1.759358
92,7.96871597,0.817389,3.88963,1.764833
93,8.01861875,0.687855,3.818924,1.758722
94,8.0728375,0.564143,3.742218,1.745967
95,8.119674309999999,0.456673,3.645391,1.729376
96,8.16747986,0.369851,3.530092,1.711619
97,8.21906667,0.304839,3.400294,1.691326
98,8.27315694,0.260656,3.25957,1.667724
99,8.33616389,0.224311,3.050855,1.626551
100,8.39955625,0.213055,2.861394,1.582235
101,8.45918125,0.221366,2.661837,1.537099
102,8.535309719999999,0.254958,2.383639,1.481417
103,8.596830559999999,0.292083,2.166717,1.44432
104,8.64050069,0.321046,2.018707,1.422879
105,8.67803889,0.352841,1.871556,1.407318
106,8.71769861,0.389939,1.725524,1.400169
107,8.752629169999999,0.41955,1.617841,1.399277
108,8.828941669999999,0.511307,1.338666,1.408
109,8.89029583,0.594294,1.136526,1.414992
110,8.95791736,0.711297,0.91276,1.420517
111,9.02176806,0.836347,0.738617,1.426863
112,9.06754583,0.962705,0.614745,1.435146
113,9.112945139999999,1.073615,0.529274,1.444854
114,9.15456319,1.193327,0.456356,1.454134
115,9.19397639,1.317521,0.396377,1.466262
116,9.22985139,1.44735,0.351577,1.479793
117,9.261757639999999,1.544955,0.324295,1.491564
118,9.31003194,1.711519,0.293556,1.511709
119,9.35970556,1.878589,0.27583,1.530132
120,9.41705625,2.092776,0.276038,1.544454
121,9.48155278,2.306928,0.286273,1.548982
122,9.55431667,2.541375,0.292678,1.552738
123,9.63443819,2.817997,0.320404,1.552586
124,9.712875689999999,3.093217,0.359001,1.550567
125,9.773361809999999,3.294533,0.391,1.55234
126,9.84413264,3.519436,0.425216,1.569006
127,9.908927779999999,3.724759,0.454267,1.607103
128,9.96183403,3.858891,0.466727,1.642426
129,10.00832014,3.978414,0.475983,1.685342
130,10.05116389,4.061702,0.485349,1.724106
131,10.09632708,4.149105,0.498347,1.77355
132,10.14705625,4.216726,0.52086,1.824047
133,10.20018819,4.267327,0.553018,1.870503
134,10.257299309999999,4.313902,0.600927,1.915756
135,10.29622292,4.332325,0.641024,1.935849
136,10.33682361,4.343455,0.687442,1.944937
137,10.38620208,4.347712,0.748936,1.942619
138,10.43287569,4.34649,0.801947,1.925786
139,10.48163958,4.337915,0.868851,1.884824
140,10.52878542,4.323507,0.936265,1.820417
141,10.592014579999999,4.297919,1.015704,1.719598
142,10.64998333,4.257744,1.099697,1.596939
143,10.70164653,4.202942,1.173881,1.484911
144,10.748969439999998,4.126629,1.252301,1.370616
145,10.800417359999999,4.02686,1.334241,1.258273
146,10.833021529999998,3.954908,1.384026,1.193537
147,10.86632708,3.850708,1.452735,1.11185
148,10.90378542,3.767116,1.508044,1.054634
149,10.96257708,3.587157,1.626924,0.959733
150,11.021556249999998,3.393836,1.758208,0.893256
151,11.0823375,3.196615,1.905712,0.841003
152,11.13692083,2.997821,2.063616,0.805018
153,11.188434719999998,2.830729,2.200471,0.789738
154,11.248351389999998,2.629571,2.363464,0.79908
155,11.30591736,2.434108,2.527616,0.827376
156,11.36104236,2.272435,2.659646,0.864889
157,11.41736528,2.089306,2.815239,0.922516
158,11.47360139,1.941185,2.935322,0.980714
159,11.52004236,1.796192,3.037951,1.051245
160,11.558962499999998,1.684943,3.106685,1.11125
161,11.61197639,1.548318,3.171329,1.188008
162,11.668743749999999,1.392928,3.222853,1.276407
163,11.72365347,1.267986,3.242164,1.340673
164,11.807903470000001,1.055695,3.229975,1.43325
165,11.998632639999999,0.673259,3.039222,1.513676
166,12.14900069,0.456794,2.757077,1.474803
167,12.22016736,0.386317,2.589607,1.439134
