Step,Convergence_Value
223,-126601392.84020847
224,-126772624.66221055
225,-126887245.7035788
226,-126975054.06173147
227,-127062328.93065505
228,-127141746.09998049
229,-127199581.05796519
230,-127275604.39661227
231,-127321045.41456434
232,-127360547.99373306
233,-127409528.7729636
234,-127453964.85449383
235,-127502397.70845075
236,-127557417.48791651
237,-127597572.34828132
238,-127635752.50315948
239,-127666814.03949058
240,-127694582.27450785
241,-127720632.74634008
242,-127740080.1136877
243,-127758414.76533511
244,-127777236.02260973
245,-127794490.80586424
246,-127817215.80546269
247,-127830898.81883541
248,-127844549.25202447
249,-127856654.80616653
250,-127862298.13411704
251,-127866785.30162998
252,-127870661.28423749
253,-127872974.49166228
254,-127920738.57588021
255,-127977884.79398514
256,-128023818.20271651
257,-128085001.67067398
258,-128127795.68510923
259,-128161108.63935632
260,-128184464.17117602
261,-128202513.51713493
262,-128217674.47518313
263,-128234983.3712908
264,-128254762.8022048
265,-128269468.79356603
266,-128292253.60583849
267,-128312090.69998923
268,-128330764.35621712
269,-128348155.6361757
270,-128362778.0157354
271,-128386076.39581458
272,-128399680.516316
273,-128401642.83655392
274,-128407176.4308952
275,-128430553.46452284
276,-128446593.62966278
277,-128456055.6681251
278,-128461781.60748775
279,-128465200.69262876
280,-128472923.91818728
281,-128477063.31296682
282,-128479920.74532391
283,-128485453.3518184
284,-128489957.73408058
285,-128494865.9851258
286,-128502822.61707108
287,-128505812.46287744
288,-128508578.59198925
289,-128511005.85367082
290,-128522860.35350741
291,-128525093.08999297
292,-128539663.29730149
293,-128579150.87270026
294,-128610810.2872579
295,-128624691.90334685
296,-128638740.86693901
297,-128658741.91075203
298,-128673444.5675562
299,-128682864.0407026
300,-128691321.64991711
301,-128698516.27345869
302,-128706540.25142132
303,-128713970.13494937
304,-128721907.19209012
305,-128728560.27672084
306,-128732925.90653479
307,-128747107.22170244
308,-128762155.1749259
309,-128771202.95999868
310,-128781477.3813545
311,-128784114.49061552
312,-128786389.0758118
313,-128788815.44487952
314,-128791686.193971
315,-128794223.66385593
316,-128796976.10490151
317,-128799832.58428754
318,-128803725.77319962
319,-128807521.32327944
320,-128813564.60217723
321,-128814658.16695364
322,-128815824.1927752
323,-128818174.18367712
324,-128818567.31628425
325,-128819778.57261404
326,-128830127.07776818
327,-128852800.08360532
328,-128869274.4383187
329,-128882500.06027249
330,-128892410.30566038
